,id,content,category
39,190,EXCLUSIVE: The German company have confirmed that it will not extend the sponsorship when it runs out in 2026. TeamViewer's share price has lost four-fifths of its value since replacing Chevrolet.,Politics
40,191,"PSG did not disclose the fee but reports in France said they had paid Lille £12.6million (€15m) for the 24-year-old, who has represented Portugal 32 times scoring three goals.",Politics
41,192,JEFF POWELL: A lone voice of dulcet clarity was almost lost amid the tsunami of Euro-phoria which has swept England's triumphant lionesses into the national consciousness.,Politics
42,193,ADRIAN KAJUMBA AND TOM COLLOMOSSE: Chelsea have firmed up their interest with an approach for Fofana who currently tops their list of centre-back targets,Politics
43,194,The Frenchman netted 175 goals in 258 Premier League appearances and spearheaded the Gunners to two league titles - including the much-heralded invincible season in 2003-04.,Politics
44,195,"Pepe, 27, was signed for a fee close to £72m in the summer of 2019 by Unai Emery and then-head of football Raul Sanllehi but has struggled to get close to that repaying that price.",Politics
45,196,The Cherries are back in the top-flight following a two-year absence having won promotion last term as Championship runners-up. Scott Parker's side host Aston Villa in their Premier League opener.,Politics
46,197,"The former Man United midfielder completed a move to the newly-promoted Premier League side last month after snubbing West Ham, who were also interested in his services.",Politics
47,198,Problems are mounting for Inter Milan as president Giuseppe Marotta has a squad full of players uncertain about their future after failures in the transfer market have left the club in a £33million hole.,Politics
48,199,"EXCLUSIVE INTERVIEW BY KISHAN VAGHELA: The Durham batsman made just 126 runs in six innings in the three-match series in the Caribbean, returning an average of 21 and a high score of 31.",Politics
49,200,The LaLiga side have agreed to pay the Brazilian's salary in full but there will be no loan fee or option to buy for the left-back who has fallen out of favour under Ten Hag,Politics
50,201,"The nation, which is experiencing a major economic crisis, confirmed late Wednesday that a wrestler, a judoka, and a judo coach have disappeared.",Politics
51,202,"Sometimes no matter what you do, it's never going to be enough. Pierre Emerick Aubameyang scored 11 goals in 13 league starts after joining Barcelona - the club have still signed Robert Lewandowski.",Politics
52,203,Arsenal have already added five new signings - at a cost of more than £100million - including Gabriel Jesus and Oleksandr Zinchenko.,Politics
53,204,"Carragher has been left bemused by Chelsea going after Cucurella, given that they already have an England international in Chilwell to cover that position.",Politics
54,205,"Braithwaite, a Denmark international, is contracted at Barcelona until 2024 and will not consider leaving unless he is fully compensated for the final two years of his contract at the Nou Camp.",Politics
55,206,"The north London side have made impressive additions this summer, including Aguero's former City team-mate Gabriel Jesus for £45million, while they also won all of their matches in pre season.",Politics
56,207,Daly has revealed he tested his luck by asking Norman whether he could join the Saudi-backed series - which would have given him the opportunity to make millions.,Politics
57,208,"EXCLUSIVE INTERVIEW: They call him 'The Problem Child' - and there have been plenty of problems for Jake Paul lately. In the last seven months, he has seen three fights go up in smoke.",Politics
58,209,The Blues have seen off competition from Borussia Dortmund and Barcelona to land the midfielder just one day ahead of the new Premier League season.,Politics
59,210,Manchester City midfielder James McAtee has joined Sheffield United on a season-long loan deal. He could be set to make his United debut in Saturday's home game with Millwall.,Politics
60,211,EXCLUSIVE: The Anthony Joshua vs Oleksandr Usyk rematch is just over two weeks away and a new promo video has dropped with a rare appearance from British boxing legend Prince Naseem Hamed.,Politics
61,212,"The fourth part of Sportsmail's Premier League preview covers Nottingham Forest, Southampton, Tottenham Hotspur, West Ham United and Wolves.",Politics
62,213,This winter's World Cup may well provide the perfect backdrop for a host of players to wave a graceful goodbye to the greatest tournament of them all.,Politics
63,214,"Most of the teams have chosen to stay in or around Doha, with England, Germany, Belgium and Portugal among eight who will be based elsewhere in the country.",Politics
64,215,"For fans of the global showpiece, there will be plenty to tuck in to in the group stage, which gets underway on November 21. Four matches are due to be played each day - at 10am, 1pm, 4pm and 7pm.",Politics
65,216,"Seven games stand in England's way of lifting the prestigious Jules Rimet trophy in December, with the final taking place the 80,000-seater Lusail Stadium on 18 December.",Politics
66,217,In under six months the 2022 FIFA World Cup will get underway in Qatar and the eight stadiums that will play host to the tournament are ready. They are also eye-catching to say the least.,Politics
67,218,The 34-year-old  has had a history of back issues dating back to 2014 costing him various amounts of time throughout his career.,Politics
68,219,The Brisbane Lions are prepared to sit down with AFL superstar Buddy Franklin amid a bombshell report the off-contract Sydney Swans star is prepared to move with his wife Jesinta.,Politics
69,220,Matt Denny has claimed a personal best to earn redemption and a gold medal at the Birmingham Commonwealth Games. But it was the reaction of his beaten opponent that stole the show,Politics
70,221,Tina Rahimi admitted to being racked with nerves before her dominant victory over Sameenah Toussaint. The Aussie won a unanimous points decision and moves on to the semis on Saturday.,Politics
71,222,"Hazen died of glioblastoma, an aggressive form of brain cancer, according to a family statement shared by the team . She was diagnosed with the disease in 2020.",Politics
72,223,Jamaica caused a major upset in netball when it topped Commonwealth Games gold medal favourites Australia after a stunning comeback on Thursday to win 57-55 at the NEC in Birmingham.,Politics
73,224,TOM COLLOMOSSE: Forest will arrive at Newcastle on Saturday with a new-look team after spending about £85million since promotion on 12 players.,Politics
74,225,Peter V'Landys left viewers baffled after the footy supremo produced a bizarre statement when quizzed on the NRL's ongoing stadium stoush with Dominic Perrottet's NSW Government.,Politics
75,226,"After bumping into Pirates owner Bob Nutting, teenager Colin Witte got the opportunity to take a picture with him.",Politics
76,227,The two-way player made the All-Star team for a second time this season - with 22 home runs and a 2.83 ERA thus far - but his teammates aren't keeping the pace with him.,Politics
77,228,Auburn quarterback TJ Finley began fall practice on Thursday but only after turning himself into police on a misdemeanor charge of attempting to elude officers.,Politics
78,229,Quarterback Deshaun Watson was given the ban Monday by an independent arbiter over dozens of sexual misconduct allegations dating back to his time with the Houston Texans.,Politics
79,230,"The 26-year-old is accused of sexually assaulting and harassing dozens of female massage therapists in the Houston area between 2019 and 2021, when he was a member of the Texans.",Politics
80,231,"WARNING - GRAPHIC CONTENT: With the Roosters looking to make ground in front of their own try line, Radley flew into a head-to-head collision with Broncos star Jake Turpin and blood gushed out.",Politics
81,232,"Cleveland Browns quarterback Watson was handed a six-game suspension for the 2022 season by independent arbiter Sue L. Robinson Monday, which the league appealed Wednesday.",Politics
82,233,"That valuation would see Johnson get paid $18.3m per season, putting him as one of the 20 best paid wide receivers in the league.",Politics
83,234,"From the moment the Nationals put their all-world outfielder Juan Soto up for sale, seven years after swiping him from under Preller's nose, the Padres general manager smelled his opportunity.",Politics
84,235,New Orleans Saints rookie left tackle Trevor Penning was booted from Wednesday's practice following his third scuffle in as many days. Each incident has involved a defensive teammate.,Politics
85,236,"Pro Football Hall of Famer Terrell Owens found himself in a racially charged confrontation with a female neighbor and police, which he recorded and has since shared on social media.",Politics
86,237,"Demir first re-appeared for the Austrian club in February after leaving Barca and played 13 more games for them, starting in eight and scoring once.",Politics
87,238,The number of substitutions was temporarily increased from three to five when football resumed amid the coronavirus pandemic in the summer of 2020 during Project Restart.,Politics
88,239,"While Maxey's massive shooting improvement may have surprised people outside of the Sixers, Rivers saw a guy who wasn't missing in practice - and would start hitting shots eventually.",Politics
89,240,The club have also spoken to Red Bull Salzburg regarding Slovenian wonderkid Benjamin Sesko but remain reluctant to hit the Austrian club's asking price of £55million.,Politics
90,241,"Three months after London announced plans to host Major League Baseball games in 2023, 2024 and 2026, the city now finds itself smack in the middle of the Route 66 rivalry.",Politics
91,242,"A veteran of Chelsea's infamous 'loan army', the New Jersey native only played two official matches for his parent club during the 2016 season, before being loaned to five different clubs.",Politics
92,243,"Here is Sportsmail's daily live blog for all the latest transfer news and new deals, with a number of high-profile players set to be on the move this summer.",Politics
93,244,"On February 1, the most prestigious name in the NFL called time on his career after a period of reflection following Tampa Bay Buccaneers defeat by Los Angeles Rams.",Politics
94,245,"Puig, 22, rose through the ranks of Barcelona's youth teams and eventually into the first team where he was once considered the next best thing to have emerged out of La Masia.",Politics
95,246,"The broadcaster, famously an Arsenal fan, has rather unsurprisingly tipped Manchester City to win the title, crediting Guardiola with cultivating a winning machine.",Politics
96,247,"Manchester City signed the midfielder who came through the Leeds academy for £45million this summer, while Raphinha was also sold to Barcelona for £55m.",Politics
97,248,Smith Rowe has broken into the first team alongside fellow Hale End graduate Bukayo Saka to become one of the club's most important players under Mikel Arteta.,Politics
98,249,"Shaista Aziz, co-director of the Three Hijabis, has praised the Premier League for their swift action but has hit out at the FA for their lack of urgency in dealing with the issue.",Politics
99,250,The Citizens pipped the Reds to the Premier League title by a single point on the final day of last season after a dramatic 3-2 comeback win against Aston Villa.,Politics
100,251,"With the departure of three of the team's top receivers this offseason, there will be a lot of movement within Matt LaFleur's offense. But according to reports, an unlikely rookie has stepped up.",Politics
101,252,Australian swimming star Ariarne Titmus said the ongoing love triangle between  her teammates is affecting the national team 'emotionally'.,Politics
102,253,"The news comes as a massive blow for Lampard and the Toffees, who are preparing to face Chelsea in their Premier League season opener this Saturday.",Politics
103,254,The WNBA may have to wait before anointing a widely-regarded No. 1 draft choice for April's draft after Connecitcut star Paige Bueckers ruptured her ACL .,Politics
104,255,The Ukrainian heavyweight is set to face-off against his British counterpart for the second time on August 20th after he beat Joshua by unanimous decision back in September.,Politics
105,256,"The 37-year-old, who wants out of United, just a year after he made a sensational return from Juventus, was among the squad being put through their paces by the Dutchman.",Politics
106,257,"The 22-year-old who joined Man City from Borussia Dortmund for £50million, is already one of the best strikers in world football, but feels there is a lot more to come.",Politics
107,258,"In a clip from the fly-on-the-wall doc, Guardiola is filmed encouraging his squad to play like Messi and go and finish Club Brugge off in the second half of their encounter.",Politics
108,259,"The punishment, which has docked Miami its 2023 first-round pick, came after a six-month investigation into the club's 'impermissible communications' with Tom Brady.",Politics
109,260,"INTERVIEW BY KISHAN VAGHELA: The destructive batting technique has come to define his style, and Bazball has been the latest reminder flair has a place in the Test arena.",Politics
110,261,"Some 32 years after the last of her mother's two titles, Eilish made it a hat-trick of gold medals for the family after a brilliant victory in Wednesday's final.",Politics
111,262,The documentary provides insight into a turbulent campaign at the Emirates Stadium which ultimately ended in Arsenal failing to finish in the top four and qualify for the Champions League.,Politics
112,263,"Fabregas was confirmed as having joined the ambitious Lombardy side after leaving Monaco last month, with it also being announced that he had also invested in the club.",Politics
113,264,EXCLUSIVE INTERVIEW BY CRAIG HOPE IN AUSTRIA: Sven Botman was nicknamed 'RoboCop' in France. Sit opposite Newcastle United's new centre-back and you appreciate why.,Politics
114,265,The Catalan club are seeking current players to accept a reduction in their salaries to bring them in line with the new wage structure the club is trying to implement.,Politics
115,266,Joey Gallo's time with the New York Yankees came to a merciful end on Tuesday when the struggling outfielder was dealt to the Los Angeles Dodgers for minor-league pitcher Clayton Beeter.,Politics
116,267,"According to Channel 9, the Lions have emerged as a serious option for Franklin. It is understood that his wife, and agent, Jesinta Franklin, is motivated to move north to be closer to family.",Politics
117,268,"The Lionesses sealed a 2-1 victory over Germany after extra-time thanks to goals from Ella Toone and Chloe Kelly to win their first major trophy in front of 87,192 fans at Wembley Stadium on Sunday.",Politics
118,269,"The Spanish international limped out of the Reds' league clash against Wolves the previous week with an achilles issue, but he was given an injection ahead of the match in Paris to enable him to play.",Politics
119,270,The Bundesliga champions had been closely linked with a move for the Tottenham and England striker after Julian Nagelsmann spoke highly of Kane in a press conference.,Politics
120,271,"The Gunners narrowly missed out on Champions League football on the final day of last season, and Neville is not convinced that they will fare any better this time around.",Politics
121,272,"The injury comes as a massive blow for Jurgen Klopp, who only recently announced that he will be without fellow midfielder Alex Oxlade-Chamberlain for the foreseeable future.",Politics
122,273,"The former England defender was referring to the Blues manager's press conference after their 4-0 preseason defeat to Arenal, where Tuchel explained the problems with his squad.",Politics
123,274,"Chelsea, led by new owner Todd Boehly and Thomas Tuchel, have identified the Barcelona forward as their latest summer target as they look to bolster their ranks.",Politics
124,275,The court heard that the incident unfolded after Lichaa caught his former partner cheating on him with his ex-teammate Adam Elliott. The court was due to hear evidence from Elliott on Thursday.,Politics
125,276,Kasper Schmeichel has completed his move to French club Nice after agreeing a three-year deal to bring an end to his 11-year stint at Leicester.,Politics
126,277,"Ex-Cats star Stokes has told of how he was in the for a rude awakening when he walked away from footy and take up an office job, revealing that he didn't even know how to do up his own tie.",Politics
127,278,Premier League rivals Chelsea are closing on a £50million-plus deal for the Spaniard Cucurella after further talks with Brighton. The 24-year-old has already agreed to join the Stamford Bridge club.,Politics
128,279,"The 24-year-old, who spent time in Ajax's youth system, only joined Willem II from  Den Bosch in January but could not prevent them from being relegated from the Eredivisie.",Politics
129,280,The 31-year-old centre-back completed a move to Stamford Bridge from Serie A earlier this summer - before Lukaku completed the reverse move as he secured a loan back to Inter Milan.,Politics
130,281,"According to reports, the club's preferred alternatives to De Jong are Declan Rice and Jude Bellingham, of West Ham and Borussia Dortmund respectively.",Politics
131,282,The 32-year-old's contract at Stamford Bridge was due to expire in the summer but an automatic one-year extension was triggered in March when he had made 35 appearances last season.,Politics
132,283,"The leader of a tiny Pacific nation was spotted competing in lawn bowls at the Commonwealth Games, while his country was in the midst of its first Covid-19 outbreak.",Politics
133,284,"The Dumfries pensioner who turns 73 later this month, helped her country win the Para women's pairs bowls on Wednesday alongside team-mate Pauline Wilson.",Politics
134,285,"SIMON JONES: Midfielder Amadou Onana was a regular for the French club last season, and is viewed as  a handy replacement for retiring Hammers legend Mark Noble - but it is not a simple deal.",Politics
135,286,"In the second qualifying heat of the men's 15km scratch qualifying on Sunday, a high-speed, multi-rider collision saw England's Matt Walls fly over the barrier and into the crowd, with his bike.",Politics
136,287,Chelsea have reportedly opened talks with Barcelona as they look to sign Pierre-Emerick Aubameyang before the transfer window closes.,Politics
137,288,Ronaldo's future at United has been the subject of intense speculation all summer with the 37-year-old wanting out as United have no Champions League football this season.,Politics
138,289,The Brisbane Broncos decided to pay out $1million to get rid of Matt Lodge after coach Kevin Walters deemed him not suitable to the team culture he was building at Red Hill.,Politics
139,290,"The big-spending Catalan giants, who have already spent nearly £140million this summer, have been linked with the Spanish full-back since the transfer window opened.",Politics
140,291,Ziyech played under ten Hag at Ajax between 2017 and 2020 during a highly successful period for the Amsterdam club which saw them win a domestic double in 2018-19.,Politics
141,292,"Sportsmail revealed earlier this week that the Premier League club had make contact with Barcelona to gauge Neto's availability, and negotiations are progressing well between the two clubs.",Politics
142,293,The drama surrounding the Aussie swim team has overshadowed Australia's fantastic Commonwealth Games results in the pool - and golden girl Ariane Titmus has admitted it has affected the entire team.,Politics
143,294,"The Aussie got fans onside with his gesture at the Citi Open, despite the surprising reaction. Kyrgios has been in great form since his shattering loss to Novak Djokovic at Wimbledon.",Politics
144,295,"Wilson's move to delete social media seems like a savvy decision from the 23-year-old, who struggled throughout his rookie season and plays for one of the most long-suffering franchises in the sport.",Politics
145,296,D.C United suffered a 3-0 defeat to Charlotte that started off in the worst way possible. An early own goal that deflected in off  centerback Steve Birnbaum in the 13th minute.,Politics
146,297,A number of professional riders were injured following a mass crash caused by a speed bump just 700 metres from the finish line of the Tour of Burgos second stage in Spain on Thursday.,Politics
147,298,Iconic US sporting identity Pat McAfee has showed his five million followers just how much he loves AFL and its fans - going ballistic  at Collingwood's after-the-siren win against Essendon.,Politics
148,299,"Scully was the longest-tenured broadcaster with a single team in sports history, spending 67 years in the booth as the voice of the Dodgers in both Brooklyn and Los Angeles.",Politics
149,300,"Knights coach Adam O'Brien is reportedly close to losing the backing of his playing group after a testing season in the NRL. Newcastle have been awful this year, chalking up just five wins.",Politics
